theme,code,category,value,areaName
mainLanguage,E12000002,17,65277,North West
mainLanguage,E12000002,18,4938,North West
mainLanguage,E12000002,19,4350,North West
mainLanguage,E12000002,20,28982,North West
mainLanguage,E12000002,21,6169,North West
mainLanguage,E12000002,22,3616,North West
mainLanguage,E12000002,23,8623,North West
mainLanguage,E12000002,24,7732,North West
mainLanguage,E12000002,25,5262,North West
mainLanguage,E12000002,26,1381,North West
mainLanguage,E12000002,27,617,North West
mainLanguage,E12000002,28,341,North West
mainLanguage,E12000002,29,289,North West
mainLanguage,E12000002,30,237,North West
mainLanguage,E12000002,31,143,North West
mainLanguage,E12000002,32,121,North West
mainLanguage,E12000002,33,378,North West
mainLanguage,E12000002,34,1987,North West
mainLanguage,E12000002,35,808,North West
mainLanguage,E12000002,36,39,North West
mainLanguage,E12000002,37,656,North West
mainLanguage,E12000002,38,830,North West
mainLanguage,E12000002,39,17,North West
mainLanguage,E12000002,40,1118,North West
mainLanguage,E12000002,41,5031,North West
mainLanguage,E12000002,42,4640,North West
mainLanguage,E12000002,43,30741,North West
mainLanguage,E12000002,44,686,North West
mainLanguage,E12000002,45,10592,North West
mainLanguage,E12000002,46,11028,North West
mainLanguage,E12000002,47,5327,North West
mainLanguage,E12000002,48,665,North West
mainLanguage,E12000002,49,59429,North West
mainLanguage,E12000002,50,3322,North West
mainLanguage,E12000002,51,26471,North West
mainLanguage,E12000002,52,2555,North West
mainLanguage,E12000002,53,17813,North West
mainLanguage,E12000002,54,16153,North West
mainLanguage,E12000002,55,748,North West
mainLanguage,E12000002,56,2370,North West
mainLanguage,E12000002,57,5393,North West
mainLanguage,E12000002,58,8460,North West
mainLanguage,E12000002,59,891,North West
mainLanguage,E12000002,60,1348,North West
mainLanguage,E12000002,61,2726,North West
mainLanguage,E12000002,62,3406,North West
mainLanguage,E12000002,63,8933,North West
mainLanguage,E12000002,64,15473,North West
mainLanguage,E12000002,65,807,North West
mainLanguage,E12000002,66,496,North West
mainLanguage,E12000002,67,1595,North West
mainLanguage,E12000002,68,2377,North West
mainLanguage,E12000002,69,965,North West
mainLanguage,E12000002,70,3346,North West
mainLanguage,E12000002,71,1450,North West
mainLanguage,E12000002,72,38,North West
mainLanguage,E12000002,73,4,North West
mainLanguage,E12000002,74,9,North West
mainLanguage,E12000002,75,85,North West
mainLanguage,E12000002,76,823,North West
mainLanguage,E12000002,77,3109,North West
mainLanguage,E12000002,78,4626,North West
mainLanguage,E12000002,79,41,North West
mainLanguage,E12000002,80,1022,North West
mainLanguage,E12000002,81,1098,North West
mainLanguage,E12000002,82,1269,North West
mainLanguage,E12000002,83,1539,North West
mainLanguage,E12000002,84,115,North West
mainLanguage,E12000002,85,459,North West
mainLanguage,E12000002,86,977,North West
mainLanguage,E12000002,87,319,North West
mainLanguage,E12000002,88,583,North West
mainLanguage,E12000002,89,1127,North West
mainLanguage,E12000002,90,2497,North West
mainLanguage,E12000002,91,2860,North West
mainLanguage,E12000002,92,209,North West
mainLanguage,E12000002,93,297,North West
mainLanguage,E12000002,94,636,North West
mainLanguage,E12000003,-8,174907,Yorkshire and The Humber
mainLanguage,E12000003,1,4943714,Yorkshire and The Humber
mainLanguage,E12000003,2,422,Yorkshire and The Humber
mainLanguage,E12000003,3,49,Yorkshire and The Humber
mainLanguage,E12000003,4,25,Yorkshire and The Humber
mainLanguage,E12000003,5,0,Yorkshire and The Humber
mainLanguage,E12000003,6,16,Yorkshire and The Humber
mainLanguage,E12000003,7,1,Yorkshire and The Humber
mainLanguage,E12000003,8,67,Yorkshire and The Humber
mainLanguage,E12000003,9,0,Yorkshire and The Humber
mainLanguage,E12000003,10,120,Yorkshire and The Humber
mainLanguage,E12000003,11,2,Yorkshire and The Humber
mainLanguage,E12000003,12,3911,Yorkshire and The Humber
mainLanguage,E12000003,13,8532,Yorkshire and The Humber
mainLanguage,E12000003,14,7291,Yorkshire and The Humber
mainLanguage,E12000003,15,6056,Yorkshire and The Humber
mainLanguage,E12000003,16,1834,Yorkshire and The Humber
mainLanguage,E12000003,17,61890,Yorkshire and The Humber
mainLanguage,E12000003,18,10637,Yorkshire and The Humber
mainLanguage,E12000003,19,3836,Yorkshire and The Humber
mainLanguage,E12000003,20,28592,Yorkshire and The Humber
mainLanguage,E12000003,21,8836,Yorkshire and The Humber
mainLanguage,E12000003,22,5653,Yorkshire and The Humber
mainLanguage,E12000003,23,5369,Yorkshire and The Humber
mainLanguage,E12000003,24,3534,Yorkshire and The Humber
mainLanguage,E12000003,25,3650,Yorkshire and The Humber
mainLanguage,E12000003,26,903,Yorkshire and The Humber
mainLanguage,E12000003,27,355,Yorkshire and The Humber
mainLanguage,E12000003,28,220,Yorkshire and The Humber
mainLanguage,E12000003,29,174,Yorkshire and The Humber
mainLanguage,E12000003,30,180,Yorkshire and The Humber
mainLanguage,E12000003,31,238,Yorkshire and The Humber
mainLanguage,E12000003,32,83,Yorkshire and The Humber
mainLanguage,E12000003,33,283,Yorkshire and The Humber
mainLanguage,E12000003,34,2024,Yorkshire and The Humber
mainLanguage,E12000003,35,344,Yorkshire and The Humber
mainLanguage,E12000003,36,12,Yorkshire and The Humber
mainLanguage,E12000003,37,450,Yorkshire and The Humber
mainLanguage,E12000003,38,684,Yorkshire and The Humber
mainLanguage,E12000003,39,28,Yorkshire and The Humber
mainLanguage,E12000003,40,1,Yorkshire and The Humber
mainLanguage,E12000003,41,6500,Yorkshire and The Humber
mainLanguage,E12000003,42,3660,Yorkshire and The Humber
mainLanguage,E12000003,43,19396,Yorkshire and The Humber
mainLanguage,E12000003,44,117,Yorkshire and The Humber
mainLanguage,E12000003,45,9987,Yorkshire and The Humber
mainLanguage,E12000003,46,6255,Yorkshire and The Humber
mainLanguage,E12000003,47,5492,Yorkshire and The Humber
mainLanguage,E12000003,48,451,Yorkshire and The Humber
mainLanguage,E12000003,49,35399,Yorkshire and The Humber
mainLanguage,E12000003,50,2009,Yorkshire and The Humber
mainLanguage,E12000003,51,31076,Yorkshire and The Humber
mainLanguage,E12000003,52,3728,Yorkshire and The Humber
mainLanguage,E12000003,53,8316,Yorkshire and The Humber
mainLanguage,E12000003,54,6270,Yorkshire and The Humber
mainLanguage,E12000003,55,580,Yorkshire and The Humber
mainLanguage,E12000003,56,1433,Yorkshire and The Humber
mainLanguage,E12000003,57,2779,Yorkshire and The Humber
mainLanguage,E12000003,58,2650,Yorkshire and The Humber
mainLanguage,E12000003,59,508,Yorkshire and The Humber
mainLanguage,E12000003,60,2679,Yorkshire and The Humber
mainLanguage,E12000003,61,2683,Yorkshire and The Humber
mainLanguage,E12000003,62,2450,Yorkshire and The Humber
mainLanguage,E12000003,63,3495,Yorkshire and The Humber
mainLanguage,E12000003,64,11087,Yorkshire and The Humber
